timeStamp,goundSteering, group_14
1652735425381668,0.134955,0.200797
1652735425560659,0.164943,0.224903
1652735425598023,0.170945,0.262693
1652735425764360,0.170945,0
1652735425797586,0.170945,0
1652735425935785,0.161943,0
1652735426063738,0.0209952,0
1652735426174550,-0,-0.502497
1652735426229621,-0,-0.579326
1652735426327229,-0,-0.58387
1652735426431337,-0.140948,-0.896055
1652735426556872,-0.290888,0
1652735426654961,-0.290888,0
1652735426751427,-0,0
1652735426846861,-0,0
1652735426979870,-0,-0.955176
1652735427086155,-0,-0.962994
1652735427216242,-0,-0.93044
1652735427323369,0.083972,0
1652735427395739,0.110968,0
1652735427512730,-0,0
1652735427591470,-0,0
1652735427694617,-0,0
1652735427798975,-0,0
1652735427899015,-0.18593,0
1652735428036455,-0.122953,0
1652735428111182,-0,0
1652735428211360,-0,0
1652735428313917,-0,0
1652735428418305,-0,0
1652735428520972,0.15595,0
1652735428648518,0.281904,0
1652735428744662,-0,0
1652735428846351,-0,-0.628796
1652735428964684,-0,0
1652735429068030,-0,0.121619
1652735429175448,-0.197923,0.0594537
1652735429279287,-0,0.0408694
1652735429360797,-0,0
1652735429480263,-0,0.394791
1652735429570419,-0,0
1652735429695888,0.131955,0
1652735429777616,0.143957,0
1652735429888851,0.0629856,0
1652735429985502,-0,0
1652735430110832,-0,0
1652735430204910,-0,0
1652735430296997,-0,0
1652735430393785,-0,0
1652735430506337,0.146949,0
1652735430626285,0.176946,0.0919387
1652735430711493,0.176946,0.0778565
1652735430824772,0.173945,0.0836966
1652735430916889,0.170945,0.0939475
1652735431024559,0.146949,0.132552
1652735431132252,-0,0.073939
1652735431231839,-0.122953,0.0911751
1652735431343006,-0.245906,0
1652735431457687,0.0239958,0.0956376
1652735431553032,0.137956,0.0979997
1652735431659393,0.161943,0.0957067
1652735431744270,0.134955,0.0959074
1652735431855571,0.134955,0.0880542
1652735431961065,0.122962,0.0617193
1652735432055215,0.125962,0.0676473
1652735432165542,0.125962,0.0725994
1652735432277124,0.125962,0.134075
1652735432408401,0.125962,0.135338
1652735432493273,0.125962,0.143452
1652735432580766,0.125962,0.091487
1652735432677810,0.122962,0.105798
1652735432781861,0.125962,0.127928
1652735432893411,0.125962,0.13864
1652735432993045,0.125962,0.143875
1652735433104685,0.125962,0.154997
1652735433203760,0.125962,0
1652735433317905,0.128963,0
1652735433410690,0.125962,0
1652735433530625,0.128963,0
1652735433614230,0.119961,0
1652735433719458,-0,0
1652735433838543,-0,0
1652735433925325,-0,0
1652735434021226,-0,0
1652735434127440,-0,0
1652735434231610,-0,-0.41241
1652735434333350,-0,0
1652735434443491,0.0599851,0
1652735434569984,0.188939,0
1652735434652932,-0,0
1652735434772401,-0,0
1652735434865108,-0,0
1652735434962353,-0,0
1652735434965606,-0,0
1652735434967847,-0,0
1652735435075323,-0,0
1652735435177219,-0,0
1652735435224532,0.224928,0
1652735435384845,0.224928,0
1652735435442281,0.179937,0
1652735435550374,-0,0
1652735435655438,-0,0
1652735435770568,-0,0
1652735435873906,-0,0
1652735435962036,-0,0
1652735436078106,-0,0
1652735436211647,-0,0
1652735436312811,-0,0
1652735436426473,-0,0
1652735436524499,-0,0
1652735436611972,-0,0
1652735436711548,-0,0
1652735436821369,-0,0
1652735436905235,-0,0
1652735437011374,0.0359893,0
1652735437117148,0.0659773,0
1652735437255348,0.0239958,0
1652735437337156,0.0239958,0
1652735437447382,0.0239958,0
1652735437554267,0.0239958,0
1652735437652420,0.0239958,0
1652735437757809,0.0209952,0
1652735437876550,-0,0
1652735437967800,-0,0
1652735438082886,-0,0
1652735438165567,-0,0
1652735438293007,-0,0
1652735438374046,-0.00299171,0
1652735438507642,-0.0329798,0
1652735438586384,-0.116952,0
1652735438686432,-0.0869637,0
1652735438801801,-0,0
1652735438890583,-0,0
1652735438997513,-0,0
1652735439100644,-0,0
1652735439232071,-0,0
1652735439315393,-0,0
1652735439424248,-0,0
1652735439543184,-0,0
1652735439633321,-0,0
1652735439724736,-0,0
1652735439829535,-0,0
1652735439937991,-0,0
1652735440053600,-0,0
1652735440140881,0.0599851,0
1652735440250957,0.0150029,0
1652735440353338,-0,0.269651
1652735440487969,0.00300058,0.229232
1652735440555048,0.0899731,0.22239
1652735440660361,0.0869726,0.242858
1652735440765332,0.0899731,0.227075
1652735440864685,0.161943,0.259287
1652735440964432,0.188939,0.174672
1652735441068328,-0,0.164752
1652735441174796,-0,0.148675
1652735441281273,0.0809714,0.1911
1652735441393911,0.161943,0.143892
1652735441484704,-0,0.165795
1652735441590724,0.164943,0.137066
1652735441691973,0.215927,0.153867
1652735441802928,0.194931,0.190346
1652735441845437,0.0719785,0.152649
1652735441953618,0.209934,-0.00672636
1652735442115282,0.209934,0.288975
1652735442159465,0.0749791,0
1652735442258235,-0,0.221189
1652735442374822,-0,0
1652735442464423,-0,0
1652735442643481,-0,0
1652735442675218,0.137956,0
1652735442770828,0.197932,0
1652735442894461,0.0719785,0
1652735442992884,0.0179946,0
1652735443094877,-0,0
1652735443217696,-0,0
1652735443319222,-0,0
1652735443418166,-0,0
1652735443531709,-0,0
1652735443639636,-0,0
1652735443744353,-0,0.0831412
1652735443842290,-0,0
1652735443967021,-0,0.0709191
1652735444049706,-0,0
1652735444145940,-0,0
1652735444266392,-0,0
1652735444359413,-0,0
1652735444460429,-0,0
1652735444573249,-0,0
1652735444675077,-0,0
1652735444765283,-0,0
1652735444878048,-0,0
1652735444999078,-0,0
1652735445111825,-0,0
1652735445205376,-0,0
1652735445323365,-0,0
1652735445392388,-0,0.335448
1652735445501005,0.0329887,0.362301
1652735445606024,0.0959743,0.17427
1652735445719892,0.0929737,0.200848
1652735445812382,0.0929737,0.227143
1652735445941057,0.131955,0.266744
1652735446037666,0.125962,0.161837
1652735446132799,0.125962,0.209385
1652735446248332,0.125962,0.191681
1652735446359655,0.116961,0.20789
1652735446457222,0.101967,0.264342
1652735446572399,0.101967,0.28785
1652735446666122,0.101967,0.295752
1652735446786840,0.101967,0.298499
1652735446877609,0.0959743,0.203336
1652735446967962,0.0869726,0.200863
1652735447076155,0.0869726,0.301276
1652735447187726,0.0869726,0
1652735447293297,0.0779797,0
1652735447401840,-0,0
1652735447502852,-0,0
1652735447616175,-0,0
1652735447707868,0.00300058,0
1652735447814396,0.0899731,0
1652735447915894,0.0899731,0
1652735448032033,0.0899731,0
1652735448134983,0.0899731,0
1652735448238809,0.0629856,0
1652735448338612,0.0629856,0
1652735448439594,0.0629856,0
1652735448539692,0.0629856,0
1652735448652947,0.0150029,0
1652735448737667,-0,0
1652735448857584,-0.0269875,-0.117109
1652735448960106,-0.122953,-0.141359
1652735449051825,-0.122953,-0.151243
1652735449171050,-0.125954,-0.165149
1652735449265883,-0.128954,-0.239088
1652735449368818,-0.0839631,-0.212809
1652735449470408,-0.0809625,-0.226481
1652735449594970,-0.0179858,0
1652735449680131,-0.0209863,0
1652735449780184,-0.038981,0
1652735449892514,-0.0329798,0
1652735450000209,-0.0179858,0
1652735450088796,-0.0359804,0
1652735450209220,-0,0
1652735450300162,-0,0
1652735450407906,0.0239958,0
1652735450490830,0.0629856,0
1652735450601867,0.0599851,0
1652735450708799,0.0569845,0
1652735450799560,0.0509833,0
1652735450907194,0.029997,0
1652735451024810,0.0209952,0.232675
1652735451126996,0.0329887,0
1652735451228582,0.0599851,0.193211
1652735451324526,0.0599851,0.225891
1652735451448720,0.0959743,0.268994
1652735451558731,0.104967,0.289181
1652735451651071,0.104967,0.207073
1652735451754109,0.104967,0.239743
1652735451854820,0.0929737,0.266744
1652735451974251,0.0719785,0.384249
1652735452087101,0.0599851,0.253424
1652735452175735,0.0599851,0
1652735452212623,0.0599851,0
1652735452367422,0.0599851,0
1652735452488315,0.0599851,0
1652735452584978,0.0599851,0
1652735452697620,0.0599851,0
1652735452736278,0.0809714,0
1652735452860403,0.083972,0
1652735452957640,0.0809714,0
1652735453053956,0.0749791,0
1652735453206140,0.0749791,0
1652735453316744,0.0779797,0
1652735453377299,0.0779797,0
1652735453502677,0.0779797,0
1652735453583360,0.0779797,0
1652735453699318,0.0779797,0
1652735453802987,0.0779797,0
1652735453916907,0.0779797,0
1652735454024371,0.0779797,0
1652735454129046,0.0779797,0
1652735454209943,0.0749791,0
1652735454336529,0.0629856,0.158871
1652735454410566,0.0629856,0.29436
1652735454526958,0.0629856,0
1652735454634854,0.107968,0
1652735454750552,0.107968,0
1652735454847379,0.104967,0
1652735454970965,0.0959743,0
1652735455051710,0.0749791,0
1652735455160732,0.0749791,0
1652735455255217,0.0749791,0
1652735455372163,0.0599851,0
1652735455464296,-0.0239869,-0.527627
1652735455556244,-0.110959,0
1652735455664998,-0,0
1652735455797977,-0,0
1652735455903392,-0,0
1652735455991454,-0,0
1652735456086973,-0,0
1652735456202678,0.251916,0
1652735456290764,-0,0
1652735456407979,-0,0
1652735456506546,-0,0
1652735456620930,-0,0
1652735456709984,-0,0
1652735456832589,-0,0
1652735456928295,-0,0
1652735457019783,-0,-0.463648
1652735457163644,-0,0
1652735457226467,-0,0
1652735457337915,-0,0
1652735457452806,-0,0
1652735457564497,-0,0
1652735457653795,-0,0
1652735457752327,-0,-0.455975
1652735457879875,-0,0
1652735457974169,-0,0
1652735458074196,0.0569845,0
1652735458172641,0.0150029,0
1652735458287593,-0,0
1652735458385168,-0,0
1652735458489978,-0,0
1652735458585854,0.0569845,0
1652735458698114,0.0569845,0
1652735458786719,0.0569845,0.13864
1652735458887867,0.0779797,0.060532
1652735458998261,0.083972,0.117109
1652735459098818,0.083972,0.120531
1652735459195831,0.0809714,0.124035
1652735459305558,0.0809714,0.122292
1652735459426213,0.0809714,0.103561
1652735459537978,0.0809714,0.127804
1652735459617723,0.101967,0.112517
1652735459724736,0.110968,0.145431
1652735459825308,0.26691,0.117109
1652735459927102,0.290888,0.199718
1652735460045636,0.290888,0.141275
1652735460130786,0.290888,0
1652735460236968,0.290888,0.257181
1652735460344915,0.290888,0
1652735460452112,0.290888,0
1652735460501715,-0,0
1652735460662391,-0.14994,0
1652735460718166,-0,-0.26426
1652735460879412,-0,0
1652735460972145,-0,0
1652735461020239,-0,0
1652735461141488,-0,0
1652735461261327,-0,0
1652735461376536,-0,0
1652735461492314,-0,0
1652735461602065,-0,0
1652735461652367,-0,0
1652735461780352,-0,0
1652735461872249,-0,0
1652735461972103,-0,0
1652735462088150,-0,0
1652735462183577,-0,0
1652735462287673,-0,0
1652735462402712,0.164943,0
1652735462507049,0.182938,0
1652735462616577,0.0599851,0
1652735462700742,-0,0
1652735462813973,-0,0
1652735462900435,-0,0
1652735463027917,-0,0
1652735463119421,-0,0
1652735463228486,-0,0
1652735463325120,-0,0
1652735463429387,-0,0
1652735463569655,-0.164934,0
1652735463636115,-0,0
1652735463733128,-0,0
1652735463848334,-0,0
1652735463948961,-0,0
1652735464051895,-0,0
1652735464160480,-0,0
1652735464265627,-0,0
1652735464392672,-0,0
1652735464475930,-0,0
1652735464582729,-0,0
1652735464701246,0.131955,0
1652735464778243,0.176946,0.206245
1652735464877853,0.170945,0.188116
1652735464997959,0.119961,0.161543
1652735465097582,0.0899731,0.165149
1652735465196247,0.0569845,0
1652735465304163,-0,0
1652735465408558,-0.131946,0
1652735465512439,-0.014994,0.130325
1652735465622265,0.290888,0.166282
1652735465723601,0.290888,0.132137
1652735465834264,0.257917,0.109965
1652735465928032,0.242914,0.122337
1652735466030487,0.260909,0.161567
1652735466153486,0.245915,0.160599
1652735466242643,0.188939,0.19691
1652735466346136,0.0929737,0.256151
1652735466448517,-0,0
1652735466550128,-0,0
1652735466649646,-0.0419816,0
1652735466760562,-0,0
1652735466857402,-0,0
1652735466964784,0.0269964,0
1652735467082293,0.0599851,0
1652735467165453,0.125962,0
1652735467266362,0.170945,0
1652735467381597,0.0899731,0
1652735467495668,0.00300058,0
1652735467582158,-0,0
1652735467680747,-0.0239869,0.298499
1652735467798380,-0.131946,0.367174
1652735467879348,-0,0.394791
1652735467996007,-0,0.674741
1652735468092388,-0,0
1652735468196798,-0,0
1652735468295481,-0,0
1652735468406940,-0,0
1652735468516515,-0,0
1652735468613929,-0,0
1652735468713525,-0,0
1652735468816421,-0,0
1652735468928107,-0,0
1652735469028357,-0,0.165149
1652735469079029,0.0959743,0.130827
1652735469179704,0.0959743,0.317163
1652735469289023,0.0929737,0.169778
1652735469398051,0.0929737,0.166086
1652735469508322,0.0929737,0.232247
1652735469657408,0.0929737,0.156892
1652735469730894,0.0929737,0.176366
1652735469859210,0.197932,0.147078
1652735469915376,0.176946,0.201039
1652735470034926,0.137956,0
1652735470176030,0.131955,0.210841
1652735470250304,0.131955,0.174313
1652735470354052,0.00900175,0.149258
1652735470476519,-0,0.247812
1652735470591282,-0,0.234898
1652735470677059,-0,0.18658
1652735470778878,-0,0.191561
1652735470892382,0.254917,0.210875
1652735470976773,0.185939,0.147753
1652735471094918,0.0929737,0.19496
1652735471203010,0.290888,0.199958
1652735471298864,0.290888,0.458439
1652735471407697,-0,0
1652735471529568,-0,0
1652735471637232,-0,0
1652735471723482,-0,0
1652735471814980,0.098966,0
1652735471920929,0.290888,0
1652735472040072,0.221928,0
1652735472147703,-0,0
1652735472234922,-0,0
1652735472345483,-0,0
1652735472440738,-0.0509744,-0.116214
1652735472539069,-0.254908,-0.129275
1652735472643110,-0,-0.167532
1652735472759197,-0,-0.125803
1652735472850766,-0.014994,-0.154687
1652735472973372,-0.0449821,-0.162831
1652735473049946,-0.131946,-0.180977
1652735473156461,-0.140948,-0.195392
1652735473263007,-0.0929649,-0.207496
1652735473364996,-0.0359804,-0.228031
1652735473473981,-0.0359804,-0.226799
1652735473574197,-0.0179858,-0.270947
1652735473676150,-0.014994,0
1652735473783621,-0.0809625,0
1652735473876735,-0.0839631,0
1652735473995415,-0.0809625,0
1652735474092301,-0.0809625,0
1652735474196688,-0.0209863,0
1652735474299012,-0,0
1652735474397696,-0,0
1652735474509884,-0,0
1652735474600457,-0,0
1652735474725484,-0,0
1652735474812673,-0,0
1652735474928427,0.140956,0
1652735475043884,0.203933,0.167175
1652735475128805,0.200933,0.172428
1652735475242537,0.161943,0.255363
1652735475344908,0.0659773,0
1652735475458449,-0,0
1652735475545692,-0,0
1652735475592691,-0,0
1652735475753277,-0,0
1652735475801005,-0,0
1652735475921010,0.098966,0
1652735476077498,0.143957,0.246354
1652735476171568,0.143957,0.251955
1652735476280481,0.0689779,0.283221
1652735476391919,0.029997,0.156602
1652735476496338,0.0120023,0
1652735476607310,0.0569845,0
1652735476699092,0.125962,0
1652735476797362,0.137956,0
1652735476913487,0.137956,0.200797
1652735476976546,0.0779797,0.183111
1652735477123596,-0,0
1652735477239065,-0,0
1652735477339824,0.0419904,0
1652735477390083,0.0869726,0
1652735477507723,0.0599851,0
1652735477596627,0.101967,0
1652735477706171,0.131955,0
1652735477817549,0.125962,0
1652735477911373,0.0479916,0
1652735478022948,0.0179946,0
1652735478118237,0.134955,0
1652735478254221,0.0719785,0
1652735478326261,-0,0
1652735478430436,-0,0
1652735478529482,0.131955,0
1652735478648729,0.161943,0
1652735478748732,0.167944,0.142525
1652735478858249,0.173945,0.170375
1652735478954272,0.170945,0
1652735479064051,0.158951,0
1652735479152330,0.00900175,0
1652735479268887,-0.0419816,0
1652735479380852,-0.158942,0
1652735479485412,-0,0
1652735479610123,-0,0
1652735479723606,-0,0
1652735479789286,-0,-0.861115
1652735479901103,-0,0
1652735480018274,-0,0
1652735480112091,0.0809714,0
1652735480218438,0.0749791,0
1652735480306919,-0,0
1652735480411247,-0,0
1652735480515954,-0,0
1652735480626377,-0,0
1652735480749837,-0,0
1652735480837866,-0,0
1652735480939796,-0,0
1652735481037195,-0,0
1652735481139801,-0,0
1652735481242763,-0,0
1652735481356668,-0,0
1652735481456754,-0,-0.600373
1652735481546011,-0,0
1652735481657851,0.0150029,0
1652735481768802,0.101967,0
1652735481869972,-0,0
1652735481973562,-0,0
1652735482063405,-0,0
1652735482164600,-0,0.0932956
1652735482298543,-0,0.0957515
1652735482375060,-0,0.104589
1652735482508362,-0,0
1652735482582370,-0,0
1652735482687508,-0,0
1652735482793868,-0,0
1652735482897502,-0,0
1652735483007574,-0,0
1652735483110974,-0,0
1652735483243200,0.0719785,0
1652735483311379,0.0749791,0
1652735483422912,0.0749791,0.152414
1652735483524735,0.0719785,0.0581355
1652735483619960,0.122962,0.0680214
1652735483734350,0.134955,0.0853187
1652735483838788,0.134955,0.119114
1652735483923424,0.134955,0.101918
1652735484055751,0.134955,0.0821675
1652735484144295,0.188939,0.105328
1652735484245943,0.221928,0.0890496
1652735484346488,0.0959743,0.146721
1652735484460363,-0,0
1652735484561214,-0,0.127621
1652735484609203,-0,0.14816
1652735484761698,0.134955,0.166693
1652735484868864,0.188939,0
1652735484907458,0.140956,0
1652735485070779,-0,0
1652735485174268,-0,0
1652735485215911,-0,0
1652735485327447,-0,0
1652735485458031,0.0719785,0
1652735485526074,0.215927,0
1652735485633748,0.0869726,0
1652735485755969,-0,0
1652735485882117,-0,0
1652735485967052,-0,0
1652735486058095,-0,0
1652735486175457,-0,0
1652735486310039,-0,0
1652735486395553,-0,0
1652735486509832,-0,0
1652735486594346,-0,0
1652735486726175,0.0120023,0
1652735486826319,0.107968,0
1652735486955663,-0,0
1652735487024684,-0,0
1652735487127948,-0,0
1652735487269531,-0,0
1652735487361451,-0,0
1652735487446149,0.00300058,0
1652735487536168,0.179937,0
1652735487658695,-0,0
1652735487758236,-0,0
1652735487866402,-0,0
1652735487998983,-0,0
1652735488090132,-0,0
1652735488189151,-0,0
1652735488291477,-0.0239869,0
1652735488401369,-0.236913,0
1652735488493796,-0,0
1652735488600139,-0,0
1652735488699274,-0,0
1652735488807294,-0.2639,0
1652735488902963,-0,0
1652735489008484,-0,0
1652735489125609,-0,0
1652735489237362,-0,0
1652735489313429,-0,0
1652735489430110,0.176946,0.338324
1652735489549117,0.137956,0.184684
1652735489633001,0.0809714,0.188222
1652735489736658,0.281904,0.209974
1652735489842475,-0,0.15304
1652735489978686,-0,0.109375
1652735490037863,-0,0.11849
1652735490147318,-0,0.131353
1652735490258189,-0,0.175544
1652735490352055,0.029997,0.156927
1652735490461276,0.188939,0.115944
1652735490562624,0.188939,0.128911
1652735490667527,0.188939,0.174672
1652735490772505,0.188939,0.246933
1652735490892045,0.15595,0.167432
1652735490968781,0.083972,0.188738
1652735491078998,0.0779797,0.192701
1652735491203724,0.0779797,0.150701
1652735491291647,0.0779797,0.00276242
1652735491396560,0.0779797,0.241464
1652735491496221,0.11396,0.104313
1652735491590639,0.116961,0
1652735491697906,0.11396,0.20142
1652735491806250,0.0869726,0.219914
1652735491906047,0.0869726,0
1652735492005019,0.0749791,0
1652735492121598,0.0749791,0
1652735492192133,0.0659773,0
1652735492334263,0.0209952,0
1652735492388395,-0,0
1652735492508071,-0,0
1652735492625232,-0,0
1652735492717617,-0,0
1652735492806047,-0,0
1652735492934942,-0,0
1652735493016407,0.0269964,0
1652735493171564,0.0269964,0
1652735493263292,-0,0
1652735493359552,0.0209952,0.168207
1652735493425598,0.00600117,0
1652735493533898,-0,0
1652735493658231,-0,0
1652735493748710,-0,0
1652735493897805,-0,0
1652735493975379,-0,0
1652735494063060,-0,0.314416
1652735494158043,-0,0.159225
1652735494256421,-0,0.196163
1652735494359094,-0,0.186265
1652735494468846,-0,0.154088
1652735494591025,-0,0.240814
1652735494701296,-0,0.249481
1652735494777150,-0,0.255809
1652735494898907,-0,0.256368
1652735495003957,-0,0.235838
1652735495098773,-0,0.262432
1652735495194614,-0,0.236722
1652735495306437,-0,0.235399
1652735495414724,-0,0.23767
1652735495518754,-0,0.236211
1652735495633384,-0,0.236211
1652735495714848,-0,0.236211
1652735495820517,-0,0.235767
1652735495932367,-0,0.261942
1652735496053958,-0,0.261942
1652735496140360,-0,0.261942
1652735496232633,-0,0.261942
